Air_Carrier,Event_Date,Country,Location,Airport_Name,Latitude,Longitude,Weather_Condition,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,City,State,Countries,Country_Fatal,Country_Uninjured,US_States,States_Fatal,States_Uninjured
Paul Taylor,4/3/2012,United States,"Pittsburgh, PA",Rock Airport,040367N,0794920W,VMC,0,0,0,1,Pittsburgh, PA,,,,,,
Valley Vista Flyers Inc,4/3/2012,United States,"Johnson Valley, CA",Valley Vista Airport,342014N,1163447W,VMC,0,1,0,0,Johnson Valley, CA,,,,,,
TRAVLAND HELICOPTERS INTL INC,4/3/2012,United States,"Corpus Christi, TX",Corpus Christie,274613N,0097304W,VMC,0,1,0,1,Corpus Christi, TX,,,,,,
Breckenridge Aviation Museum,4/4/2012,United States,"Breckenridge, TX",Stephens County Airport,032438N,0985330W,VMC,1,0,0,0,Breckenridge, TX,,,,,,
SOUTHWEST TEXAS RAIN ENHANCEMENT ASSOC,4/4/2012,United States,"San Marcos, TX",San Marcos Municipal Airport,295334N,0975147W,VMC,0,0,0,1,San Marcos, TX,,,,,,
PERFORMANCE BY DESIGN,4/4/2012,United States,"Telluride, CO",Telluride Regional Airport,375714N,1075432W,VMC,0,0,0,4,Telluride, CO,,,,,,
GEMINI AVIATION LLC,4/5/2012,United States,"Ann Arbor, MI",Ann Arbor Municipal,421313N,0834426W,VMC,0,0,1,0,Ann Arbor, MI,,,,,,
FARE SHARE LTD,4/5/2012,United States,"Pottstown, PA",Heritage Field Airport,401413N,0753314W,VMC,0,0,0,2,Pottstown, PA,,,,,,
THOMAS MARK R,4/5/2012,United States,"Warwarsing, NY",None,041500N,0074290W,VMC,0,1,0,0,Warwarsing, NY,,,,,,
Jose Wejebe,4/6/2012,United States,"Everglades City, FL",Everglades Airpark,255110N,0812325W,VMC,1,0,0,0,Everglades City, FL,,,,,,
COLGAN AIR INC,4/7/2012,United States,"Houston, TX",Geoarge Bush Intercontinental,295839N,0095200W,VMC,0,0,0,35,Houston, TX,,,,,,
Zoltan Horvath,4/9/2012,United States,"Henderson, NV",Henderson Executive Airport,355822N,0011584W,VMC,0,0,0,2,Henderson, NV,,,,,,
ON FILE,4/9/2012,United States,"Youngstown, OH",PVT,405742N,0804038W,VMC,0,0,0,1,Youngstown, OH,,,,,,
P & K AVIATION INC,4/9/2012,United States,"Lee's Summit, MO",Lee's Summit Muni Airport,385734N,0942216W,VMC,0,0,0,1,Lee's Summit, MO,,,,,,
Brad McIntyre,4/10/2012,United States,"Monroe, LA",Monroe Regional Airport,323039N,0092216W,VMC,0,0,0,1,Monroe, LA,,,,,,
JUBILATION AVIATION INC,4/10/2012,United States,"Georgetown, KY",Georgetown,038144N,0084264W,VMC,0,0,0,1,Georgetown, KY,,,,,,
NORTHERN LIGHT BALLOON EXPEDITIONS,4/10/2012,United States,"Sedona, AZ",Sedona Airport,345054N,1114718W,VMC,0,0,0,14,Sedona, AZ,,,,,,
Kenneth Brown,4/10/2012,United States,"Sequim, WA",Blue Ribbon Airport,048729N,1231215W,VMC,0,0,0,2,Sequim, WA,,,,,,
NORTH AIRE AVIATION LLC,4/12/2012,United States,"Prescott, AZ",Prescott,035470N,0110250W,VMC,0,0,0,1,Prescott, AZ,,,,,,
